count,hour,minute,second,msec,at1,at2,at3,t1,t2,t3,pos1,pos2,pos3,vel1,vel2,vel3
1,17,51,24,823,0.6,-7.56,-1.53,0.32206,-5.95327,0.106901,20.002,59.9991,-0.000686646,0,0.000686646,-0.00549316
2,17,51,24,829,0.57,-7.56,-1.41,0.32206,-6.35235,0.0752307,20.002,59.9984,-0.000686646,0,0.0460052,-0.00137329
3,17,51,24,835,0.57,-7.38,-1.59,0.32206,-6.35149,0.116452,20.0013,59.9984,-0.000686646,0,-0.00274658,0.000686646
4,17,51,24,841,0.75,-7.5,-1.59,-0.0268331,-5.95694,-0.0143052,20.0006,59.9991,-0.000686646,-0.0686646,0.0075531,0.000686646
5,17,51,24,847,0.6,-7.5,-1.44,0.32206,-6.12765,-1.15943,19.9992,59.9991,-0.000686646,0,0.0267792,0.0611115
6,17,51,24,853,0.63,-7.44,-1.47,0.384643,-6.27792,0.0272041,19.9986,59.9998,-0,0,0.0384521,-0.00137329
7,17,51,24,859,0.69,-7.32,-1.53,0.32206,-6.21796,0.0423028,19.9979,59.9991,-0,0,0.0343323,-0
8,17,51,24,865,0.75,-7.44,-1.53,0.32206,-5.90505,-0.000960632,19.9972,59.9991,0.000686646,0,0.000686646,-0
9,17,51,24,871,0.81,-7.44,-1.44,0.32206,-5.88569,0.0668066,19.9972,59.9998,0.000686646,0,-0.00205994,-0.00343323
10,17,51,24,877,0.81,-7.44,-1.44,0.314862,-5.95237,0,19.9965,59.9984,-0,-0.00137329,0.000686646,-0
11,17,51,24,883,0.69,-7.44,-1.38,0.690513,-5.94968,-1.29066,19.9972,59.9984,0.000686646,0.0727844,-0,0.0686646
12,17,51,24,889,0.84,-7.38,-1.47,0.416692,-6.25666,-0.0133745,19.9986,59.9991,0.000686646,0.0178528,0.0350189,0.000686646
13,17,51,24,895,0.72,-7.5,-1.44,0.356252,-5.9471,0.0475213,19.9979,59.9984,0.000686646,0.0192261,-0,-0
14,17,51,24,901,0.81,-7.5,-1.47,0.294991,-5.90322,0.000475313,19.9986,59.9991,-0,-0.00205994,-0,-0
15,17,51,24,907,0.81,-7.5,-1.41,0.304537,-5.94713,-0.0133745,19.9986,59.9991,0.000686646,0,-0,0.000686646
16,17,51,24,913,0.84,-7.5,-1.41,0.323938,-5.95327,0.0668166,19.9986,59.9991,-0,0,0.000686646,-0.00343323
17,17,51,24,919,0.84,-7.44,-1.32,0.300467,-6.35235,-1.22768,19.9979,59.9984,0.000686646,-0.00411987,0.0460052,0.0652313
18,17,51,24,925,0.9,-7.44,-1.38,0.314862,-6.33976,-0.00238657,19.9979,59.9991,0.000686646,-0.00137329,0.044632,-0
19,17,51,24,931,0.93,-7.5,-1.41,0.30782,-5.85878,0.0451447,19.9979,59.9998,0.000686646,-0.00343323,-0.00343323,-0
20,17,51,24,937,0.96,-7.5,-1.35,0.323312,-5.89119,-1.00067e-05,19.9979,59.9998,0.000686646,0,-0,-0
21,17,51,24,943,0.93,-7.5,-1.35,0.325189,-5.95758,-0.70092,19.9986,59.9991,0.000686646,0,0.000686646,0.0363922
22,17,51,24,948,0.81,-7.38,-1.35,0.667673,-6.0208,-2.00134e-05,19.9986,59.9998,0.00137329,0.0679779,0.00823975,-0
23,17,51,24,954,0.87,-7.5,-1.35,0.535565,-5.92175,0.0251816,19.9986,59.9998,0.000686646,0.0411987,-0.00274658,-0
24,17,51,24,960,0.81,-7.38,-1.32,0.292489,-6.0411,-1.00067e-05,19.9992,59.9998,0.000686646,0.00617981,0.011673,-0
25,17,51,24,966,0.84,-7.32,-1.35,0.284511,-6.35586,0.0133545,20.0013,59.9998,0.000686646,0,0.0460052,-0.000686646
26,17,51,24,972,0.69,-7.5,-1.35,0.413383,-5.93253,-1.00067e-05,20.0013,59.9998,0.000686646,0.0185394,-0,-0
27,17,51,24,978,0.69,-7.44,-1.26,0.311263,-5.88947,0.0262434,20.002,59.9998,0.000686646,-0.00205994,-0,-0.00137329
28,17,51,24,984,0.66,-7.38,-1.32,0.305163,-6.0024,-0.359864,20.0027,59.9998,0.000686646,0,0.00617981,0.0185394
29,17,51,24,990,0.63,-7.5,-1.38,0.291552,-5.94713,-0.000960632,20.0027,59.9991,0.000686646,-0.00617981,-0,-0
30,17,51,24,996,0.57,-7.5,-1.35,0.32206,-5.93938,0.0128234,20.004,59.9991,0.000686646,0,-0,-0
31,17,51,25,2,0.45,-7.5,-1.29,0.327693,-5.94717,-1.00067e-05,20.0054,59.9998,0.000686646,0,-0,-0
32,17,51,25,8,0.39,-7.5,-1.23,0.32206,-5.94717,-0.320054,20.0054,59.9998,-0,0,-0,0.0164795
33,17,51,25,39,0.3,-7.5,-1.14,0.340056,-5.94717,-1.32405,19.9999,59.9998,0.000686646,0.00343323,-0,0.0707245
34,17,51,25,45,0.42,-7.5,-1.35,0.32206,-5.94717,0.0113975,19.9979,59.9998,0.000686646,0,-0,-0
35,17,51,25,50,0.42,-7.5,-1.29,0.318931,-5.94717,0.0489472,19.9979,59.9998,0.000686646,0,-0,-0
36,17,51,25,56,0.51,-7.5,-1.14,0.32206,-5.9472,-1.28828,19.9972,60.0005,0.000686646,0,-0,0.0686646
37,17,51,25,62,0.54,-7.32,-1.29,0.32206,-6.35245,-2.0013e-05,19.9972,60.0005,0.00137329,0,0.0460052,-0
38,17,51,25,68,0.57,-7.5,-1.26,0.32206,-5.94717,0.0475113,19.9972,59.9998,0.00137329,0,-0,-0
39,17,51,25,74,0.54,-7.5,-1.29,0.647864,-5.88951,-2.0013e-05,19.9972,60.0005,0.00137329,0.063858,-0,-0
40,17,51,25,80,0.63,-7.5,-1.26,0.32206,-5.91647,-2.00134e-05,19.9972,59.9998,0.00137329,0,-0.00343323,-0
41,17,51,25,85,0.66,-7.56,-1.29,0.263859,-5.9472,-2.0013e-05,19.9972,60.0005,0.00137329,0,-0,-0
42,17,51,25,91,0.69,-7.5,-1.17,0.32206,-5.95147,0.596832,19.9972,59.9998,0.00137329,0,-0,-0.030899
43,17,51,25,97,0.69,-7.56,-1.17,0.32206,-5.94713,-0.200309,19.9986,59.9991,0.000686646,0,-0,0.0102997
44,17,51,25,103,0.69,-7.56,-1.26,0.32206,-5.9472,-0.0213991,19.9986,60.0005,0.000686646,0,-0,-0
45,17,51,25,109,0.57,-7.5,-1.23,0.552904,-5.94717,0.00710968,19.9986,59.9998,0.00137329,0.044632,-0,-0
46,17,51,25,115,0.66,-7.56,-1.26,0.32206,-5.9472,-1.00065e-05,19.9999,60.0005,0.000686646,0,-0,-0
47,17,51,25,121,0.66,-7.56,-1.26,0.281382,-5.94717,-2.00134e-05,20.0006,59.9998,0.00137329,0,-0,-0
48,17,51,25,127,0.63,-7.5,-1.29,0.32206,-5.93489,-2.00134e-05,20.0006,59.9998,0.00137329,0,-0.00137329,-0
49,17,51,25,133,0.63,-7.56,-1.2,0.32206,-5.9472,-2.0013e-05,20.0006,60.0005,0.00137329,0,-0,-0
50,17,51,25,139,0.6,-7.5,-1.26,0.32206,-5.94892,-2.0013e-05,20.0006,60.0005,0.00137329,0,-0,-0
51,17,51,25,145,0.69,-7.5,-1.23,0.32206,-6.02693,-2.00134e-05,20.0006,59.9998,0.00137329,0,0.00892639,-0
52,17,51,25,151,0.63,-7.56,-1.23,0.32206,-5.9472,-1.00065e-05,20.0006,60.0005,0.000686646,0,-0,-0
53,17,51,25,157,0.63,-7.5,-1.2,0.32206,-5.93601,0.0267088,20.0006,60.0005,0.00137329,0,-0,-0.00137329
54,17,51,25,163,0.54,-7.56,-1.11,0.32206,-5.9472,-1.20392,20.0006,60.0005,0.000686646,0,-0,0.063858
55,17,51,25,169,0.57,-7.5,-1.11,0.32206,-5.9472,-1.14388,20.0013,60.0005,0.00137329,0,-0,0.0604248
56,17,51,25,175,0.54,-7.56,-1.23,0.32206,-5.95334,0.693179,20.0013,60.0005,0.00137329,0,0.000686646,-0.0336456
57,17,51,25,181,0.54,-7.5,-1.23,0.32206,-5.9472,-0.0249991,20.0013,60.0005,0.000686646,0,-0,0.00343323
58,17,51,25,187,0.51,-7.5,-1.14,0.32206,-5.9463,-0.0233103,20.0013,59.9998,0.00137329,0,-0,-0
59,17,51,25,193,0.45,-7.56,-1.11,0.32206,-5.92265,0.00235655,20.0013,60.0005,0.00137329,0,-0.00274658,-0
60,17,51,25,199,0.54,-7.5,-1.14,0.39754,-6.08204,-2.0013e-05,20.002,60.0005,0.00137329,0.0144196,0.0151062,-0
61,17,51,25,205,0.39,-7.5,-1.2,0.573572,-5.95064,-2.0013e-05,20.002,60.0005,0.00137329,0.0487518,-0,-0
62,17,51,25,211,0.39,-7.5,-1.11,0.308918,-5.92826,-2.0013e-05,20.002,60.0005,0.00137329,0,-0,-0
63,17,51,25,217,0.39,-7.56,-1.08,0.277627,-5.94717,-0.0133845,20.0013,59.9998,0.00137329,0,-0,0.000686646
64,17,51,25,249,0.33,-7.44,-1.08,0.32206,-6.05755,-2.00134e-05,20.0006,59.9998,0.00137329,0,0.0123596,-0
65,17,51,25,255,0.33,-7.5,-1.02,0.42616,-5.9472,0.000465306,19.9999,60.0005,0.000686646,0.0199127,-0,-0
66,17,51,25,261,0.48,-7.5,-1.11,0.311263,-5.9317,-1.00065e-05,19.9986,60.0005,0.000686646,-0.00205994,-0,-0
67,17,51,25,267,0.39,-7.5,-0.96,0.300312,-5.9472,-0.893286,19.9986,60.0005,0.00137329,-0.000686646,-0,0.0466919
68,17,51,25,273,0.48,-7.44,-1.05,0.287956,-5.92261,-1.00067e-05,19.9979,59.9998,0.000686646,-0.00686646,-0.00274658,-0
69,17,51,25,279,0.48,-7.5,-1.11,0.329885,-5.9472,0.0323013,19.9979,60.0005,0.00137329,0.00137329,-0,-0
70,17,51,25,285,0.51,-7.5,-1.11,0.328318,-5.95064,-2.0013e-05,19.9979,60.0005,0.00137329,0,-0,-0
71,17,51,25,291,0.51,-7.5,-1.05,0.320809,-5.94717,0.478765,19.9986,59.9998,0.00137329,0,-0,-0.0247192
72,17,51,25,297,0.51,-7.5,-1.26,0.32206,-5.94717,1.22812,19.9992,59.9998,0.00137329,0,-0,-0.0652313
73,17,51,25,303,0.48,-7.5,-0.93,0.32206,-6.23959,-0.124022,19.9986,59.9998,0.00137329,0,0.032959,0.00549316
74,17,51,25,309,0.51,-7.56,-1.17,0.32206,-5.9472,1.19504,19.9992,60.0005,0.00137329,0,-0,-0.065918
75,17,51,25,315,0.51,-7.5,-0.99,0.32206,-5.90587,0.0839591,19.9992,60.0005,0.00137329,0,-0,-0.00411987
76,17,51,25,321,0.54,-7.5,-1.08,0.32206,-5.9472,-0.139185,19.9992,60.0005,0.00137329,0,-0,0.00480652
77,17,51,25,327,0.54,-7.5,-1.11,0.125993,-5.9472,1.27343,19.9986,60.0005,0.00137329,-0.0377655,-0,-0.0679779
78,17,51,25,333,0.57,-7.56,-0.9,0.332858,-5.9472,-0.736378,19.9992,60.0005,0.00137329,0.00205994,-0,0.0384521
79,17,51,25,339,0.57,-7.5,-1.05,0.356481,-5.94717,0.36573,19.9992,59.9998,0.00137329,0,-0,-0.021286
80,17,51,25,345,0.57,-7.5,-0.96,0.320183,-5.98403,0.0266075,19.9992,60.0005,0.000686646,0,0.00411987,-0
81,17,51,25,350,0.6,-7.5,-1.05,0.32206,-5.9472,0.464041,19.9999,60.0005,0.000686646,0,-0,-0.0247192
82,17,51,25,356,0.6,-7.5,-0.99,0.32206,-5.94203,-0.106901,19.9992,60.0005,0.000686646,0,-0,0.00549316
83,17,51,25,362,0.57,-7.5,-0.9,0.32206,-5.99017,-0.0304858,20.0006,60.0005,0.000686646,0,0.00480652,0.000686646
84,17,51,25,368,0.54,-7.5,-0.99,0.32206,-5.9472,-0.196506,20.0013,60.0005,0.000686646,0,-0,0.0102997
85,17,51,25,374,0.54,-7.5,-0.75,0.32206,-5.94117,0.147399,20.0013,60.0005,0.00137329,0,-0,-0.0075531
86,17,51,25,380,0.48,-7.44,-0.96,0.32206,-5.94723,0.00711969,20.0013,60.0005,0.000686646,0,-0,-0
87,17,51,25,386,0.42,-7.5,-0.99,0.32206,-5.94717,-0.018603,20.002,59.9998,0.000686646,0,-0,-0
88,17,51,25,392,0.39,-7.5,-0.96,0.32206,-5.9472,-0.0401124,20.002,60.0005,0.00137329,0,-0,-0
89,17,51,25,398,0.39,-7.5,-0.99,0.32206,-5.9472,0.000465306,20.0027,60.0005,0.000686646,0,-0,-0
90,17,51,25,404,0.33,-7.56,-0.9,0.32206,-5.94717,0.00140592,20.0027,59.9998,0.00137329,0,-0,-0
91,17,51,25,410,0.27,-7.5,-0.96,0.32206,-5.94717,-1.00067e-05,20.002,59.9998,0.000686646,0,-0,-0
92,17,51,25,416,0.27,-7.5,-0.96,0.32206,-5.9472,-1.00065e-05,20.002,60.0005,0.000686646,0,-0,-0
93,17,51,25,422,0.24,-7.5,-0.96,0.32206,-5.9472,-2.0013e-05,20.002,60.0005,0.00137329,0,-0,-0
94,17,51,25,449,0.3,-7.5,-0.9,0.32206,-5.9472,-2.0013e-05,19.9999,60.0005,0.00137329,0,-0,-0
